"Term","Genes"
"regulation of immune effector process (GO:0002697)","C1QB"
"regulation of immune effector process (GO:0002697)","C1QA"
"regulation of immune effector process (GO:0002697)","CR2"
"regulation of immune effector process (GO:0002697)","CR1"
"regulation of immune effector process (GO:0002697)","CFH"
"regulation of immune effector process (GO:0002697)","C8B"
"regulation of immune effector process (GO:0002697)","C8A"
"regulation of immune effector process (GO:0002697)","CFHR2"
"regulation of immune effector process (GO:0002697)","CFHR1"
"regulation of immune effector process (GO:0002697)","CFHR4"
"regulation of immune effector process (GO:0002697)","CFHR5"
"regulation of immune effector process (GO:0002697)","CD46"
"regulation of immune effector process (GO:0002697)","FCGR2B"
"regulation of immune effector process (GO:0002697)","CD55"
"regulation of immune effector process (GO:0002697)","C1QC"
"regulation of humoral immune response (GO:0002920)","C1QB"
"regulation of humoral immune response (GO:0002920)","C1QA"
"regulation of humoral immune response (GO:0002920)","CR2"
"regulation of humoral immune response (GO:0002920)","CR1"
"regulation of humoral immune response (GO:0002920)","CFH"
"regulation of humoral immune response (GO:0002920)","C8B"
"regulation of humoral immune response (GO:0002920)","C8A"
"regulation of humoral immune response (GO:0002920)","CFHR2"
"regulation of humoral immune response (GO:0002920)","CFHR1"
"regulation of humoral immune response (GO:0002920)","CFHR4"
"regulation of humoral immune response (GO:0002920)","CFHR5"
"regulation of humoral immune response (GO:0002920)","CD46"
"regulation of humoral immune response (GO:0002920)","FCGR2B"
"regulation of humoral immune response (GO:0002920)","CD55"
"regulation of humoral immune response (GO:0002920)","C1QC"
"regulation of complement activation (GO:0030449)","C1QB"
"regulation of complement activation (GO:0030449)","C1QA"
"regulation of complement activation (GO:0030449)","CR2"
"regulation of complement activation (GO:0030449)","CR1"
"regulation of complement activation (GO:0030449)","CFH"
"regulation of complement activation (GO:0030449)","C8B"
"regulation of complement activation (GO:0030449)","C8A"
"regulation of complement activation (GO:0030449)","CFHR2"
"regulation of complement activation (GO:0030449)","CFHR1"
"regulation of complement activation (GO:0030449)","CFHR4"
"regulation of complement activation (GO:0030449)","CFHR5"
"regulation of complement activation (GO:0030449)","CD46"
"regulation of complement activation (GO:0030449)","CD55"
"regulation of complement activation (GO:0030449)","C1QC"
"regulation of heart contraction (GO:0008016)","RYR2"
"regulation of heart contraction (GO:0008016)","TGFB2"
"regulation of heart contraction (GO:0008016)","ATP2B4"
"regulation of heart contraction (GO:0008016)","ATP1A2"
"regulation of heart contraction (GO:0008016)","TNNI3K"
"regulation of heart contraction (GO:0008016)","ATP1A1"
"regulation of heart contraction (GO:0008016)","AGT"
"regulation of heart contraction (GO:0008016)","GJA5"
"regulation of heart contraction (GO:0008016)","RNF207"
"regulation of heart contraction (GO:0008016)","TNNT2"
"regulation of heart contraction (GO:0008016)","NPPA"
"regulation of heart contraction (GO:0008016)","CASQ2"
"regulation of heart contraction (GO:0008016)","CASQ1"
"regulation of cardiac conduction (GO:1903779)","RYR2"
"regulation of cardiac conduction (GO:1903779)","GJA5"
"regulation of cardiac conduction (GO:1903779)","NPPA"
"regulation of cardiac conduction (GO:1903779)","CASQ2"
"regulation of cardiac conduction (GO:1903779)","ATP2B4"
"regulation of cardiac conduction (GO:1903779)","ATP1A2"
"regulation of cardiac conduction (GO:1903779)","TNNI3K"
"regulation of cardiac conduction (GO:1903779)","CASQ1"
"regulation of cardiac conduction (GO:1903779)","ATP1A1"
"regulation of cardiac conduction (GO:1903779)","AGT"
"negative regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002924)","CR2"
"negative regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002924)","CR1"
"negative regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002924)","CD46"
"negative regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002924)","FCGR2B"
"negative regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002924)","CD55"
"tRNA aminoacylation for protein translation (GO:0006418)","SARS1"
"tRNA aminoacylation for protein translation (GO:0006418)","EPRS1"
"tRNA aminoacylation for protein translation (GO:0006418)","PARS2"
"tRNA aminoacylation for protein translation (GO:0006418)","DARS2"
"tRNA aminoacylation for protein translation (GO:0006418)","IARS2"
"tRNA aminoacylation for protein translation (GO:0006418)","TARS2"
"tRNA aminoacylation for protein translation (GO:0006418)","YARS1"
"tRNA aminoacylation for protein translation (GO:0006418)","WARS2"
"regulation of protein binding (GO:0043393)","SNAPIN"
"regulation of protein binding (GO:0043393)","KDM1A"
"regulation of protein binding (GO:0043393)","EPB41"
"regulation of protein binding (GO:0043393)","RPL11"
"regulation of protein binding (GO:0043393)","PARK7"
"regulation of protein binding (GO:0043393)","PEX14"
"regulation of protein binding (GO:0043393)","CFHR2"
"regulation of protein binding (GO:0043393)","CFHR1"
"regulation of protein binding (GO:0043393)","DVL1"
"regulation of protein binding (GO:0043393)","CFHR5"
"regulation of protein binding (GO:0043393)","LDLRAP1"
"regulation of protein binding (GO:0043393)","DISC1"
"regulation of protein binding (GO:0043393)","NES"
"regulation of calcium ion transmembrane transport (GO:1903169)","NOS1AP"
"regulation of calcium ion transmembrane transport (GO:1903169)","NPPA"
"regulation of calcium ion transmembrane transport (GO:1903169)","PSEN2"
"regulation of calcium ion transmembrane transport (GO:1903169)","CASQ2"
"regulation of calcium ion transmembrane transport (GO:1903169)","ATP1A2"
"regulation of calcium ion transmembrane transport (GO:1903169)","CASQ1"
"negative regulation of complement activation, classical pathway (GO:0045959)","CR2"
"negative regulation of complement activation, classical pathway (GO:0045959)","CR1"
"negative regulation of complement activation, classical pathway (GO:0045959)","CD46"
"negative regulation of complement activation, classical pathway (GO:0045959)","CD55"
